sentence_id|generated_sentence|language
LJ005-0006|who handed a shilling to the escort warder to provide her with a hackney coach; but this functionary pocketed the cash, and obliged the woman to walk|English
LJ005-0007|chained to the rest. As the miserable crew filed through the public streets, exposed to the scornful gaze of every passenger,|English
LJ005-0008|they were followed by a crowd of reckless boys, who jeered at and insulted them.|English
LJ005-0009|Many thus led in procession were in a shocking condition of dirt and misery, frequently nearly naked, and often bearing upon them|English
LJ005-0010|"the germs, more or less developed, of contagious disease. ""Caravans,"" the forerunners of the prison vans,"|English
LJ005-0011|were first made use of about eighteen twenty-seven. That the need for prison reform was imperative may be gathered from the few out of many instances I have adduced,|English
LJ005-0012|yet there were those who, wedded to ancient ideas, were intolerant of change; they would not admit the existence of any evils.|English
LJ005-0013|One smug alderman, a member of the House of Commons, sneered at the ultra philanthropy of the champions of prison improvement.|English
LJ005-0014|Speaking on a debate on prison matters, he declared that|English
LJ005-0015|our prisoners have all that prisoners ought to have, without gentlemen think they ought to be indulged with Turkey carpets.|English
LJ005-0016|The Society for the Improvement of Prison Discipline was taxed with a desire to introduce a system|English
LJ005-0017|tending to divest punishment of its just and salutary terrors;|English
LJ005-0018|an imputation which the Society indignantly and very justly repudiated, the statement being, as they said,|English
LJ005-0019|refuted by abundant evidence, and having no foundation whatever in truth.|English
LJ005-0020|Among those whom the Society found arrayed against it was Sydney Smith,|English
LJ005-0021|who, in a caustic article contributed to the 'Edinburgh Review,' protested against the pampering of criminals|English
LJ005-0022|While fully admitting the good intentions of the Society, he condemned their ultra humanitarianism as misplaced.|English
LJ005-0023|He took exception to various of the proposals of the Society. He thought they leant too much to a system of indulgence and education in jails.|English
LJ005-0024|He objected to the instruction of prisoners in reading and writing.|English
LJ005-0025|"A poor man who is lucky enough, he said, ""to have his son committed for a felony"|English
LJ005-0026|"educates him under such a system for nothing, while the virtuous simpleton who is on the other side of the wall is paying by the quarter for these attainments."""|English
LJ005-0027|He was altogether against too liberal a diet; he disapproved of industrial occupations in jails, as not calculated to render prisons terrible.|English
LJ005-0028||English
LJ005-0029|"nothing but beating hemp and pulling oakum and pounding bricks -- no work but what was tedious, unusual."""|English
LJ005-0030||English
LJ005-0031|no visiting of friends, no education but religious education, no freedom of diet,|English
LJ005-0032|no weavers' looms or carpenters' benches. There must be a great deal of solitude, coarse food, a dress of shame,|English
LJ005-0033|hard, incessant, irksome, eternal labor, a planned and regulated and unrelenting exclusion of happiness and comfort.|English
LJ005-0034|Undeterred by these sarcasms and misrepresentations,|English
LJ005-0035|the Society pursued its laudable undertaking with remarkable energy and great singleness of purpose.|English
LJ005-0036|The objects it had in view were set forth in one of its earliest meetings.|English
LJ005-0037|It sought to obtain and diffuse useful information|English
LJ005-0038|to suggest beneficial regulations, and circulate tracts demonstrating the advantages of classification,|English
LJ005-0039|constant inspection, regular employment, and humane treatment generally, with religious and moral instruction.|English
LJ005-0040|It earnestly advocated the appointment of female officers to take exclusive charge of female prisoners,|English
LJ005-0041|a much-needed and, according to our ideas, indispensable reform, already initiated by the Ladies' Committee at Newgate.|English
LJ005-0042|It made the subject of the newly-invented tread-wheels, or stepping-wheels, as they were at first called, its peculiar affair,|English
LJ005-0043|and obtained full details, from places where they had been adopted, of the nature of these new machines|English
LJ005-0044|the method by which they were worked, and the dietaries of the prisoners employed upon them.|English
LJ005-0045|Nor did it confine itself to mere verbal recommendations.|English
LJ005-0046|The good it tried to do took active shape in the establishment of temporary refuges -- at Hoxton for males, and in the Hackney Road for females|English
LJ005-0047|for the reception of deserving cases discharged from prison. The governor of Newgate and other metropolitan prisons had orders of admission to this refuge|English
LJ005-0048|which he could bestow on prisoners on release, and so save the better-disposed or the completely destitute from lapsing at once into crime.|English
LJ005-0049|The refuge, which had for its object the training of its inmates in habits of industry,|English
LJ005-0050|and in moral and religious duty, and which after a time sought to provide them with suitable situations, was supported entirely out of the funds of the Society.|English
LJ005-0051|At the time of its greatest prosperity, its annual income from donations and subscriptions was about one thousand six hundred pounds.|English
LJ005-0052|Another point to which the Society devoted infinite pains was the preparation of plans for the guidance of architects in the construction of prisons.|English
LJ005-0053|A very valuable volume published by the Society|English
LJ005-0054|traced the progress of prison architecture from the days when the jail was the mere annexe of the baronial or episcopal castle|English
LJ005-0055|or a dungeon above or below the gate of a town, to the first attempts at systematic reconstruction carried out under the advice and supervision of Howard.|English
LJ005-0056|"It is interesting to observe that the plan of ""radiation,"" by which the prison blocks radiated from a central hall, like spokes in a wheel"|English
LJ005-0057|was introduced as early as seventeen ninety by Mr. Blackburn|English
LJ005-0058|an architect of eminence who was very largely employed in the erection of prison buildings at the close of the last century.|English
LJ005-0059|With some important modifications this principle of radiation is still the rule.|English
LJ005-0060|The Society did not limit its remarks to the description of what had already been done|English
LJ005-0061|but it offered suggestions for future buildings, with numerous carefully-executed drawings and designs of the model it recommended for imitation.|English
LJ005-0062|Experience has since shown that in some respects these plans are defective, especially in the placing of the governor's residence in the center of the prison.|English
LJ005-0063|It was thought that this would guarantee constant supervision and inspection, but it did nothing of the kind, and only the presence of warders on duty|English
LJ005-0064|is found now-a-days to be really efficacious. The main recommendations, however, are based upon common sense|English
LJ005-0065|and none are more commendable than that which deprecates the excessive ornamentation of the external parts of the edifice.|English
LJ005-0066|"The new jails, as Howard says, ""having pompous fronts, appear like palaces to the lower class of people, and many persons are against them on this account."""|English
LJ005-0067|The Prison Society reproves the misdirected efforts of ambitious architects, who by a lavish and improvident expenditure of public money|English
LJ005-0068|"sought to ""rank the prisons they built among the most splendid buildings of the city or town."""|English
LJ005-0069|Absence of embellishment is in perfect unison with the character of the establishment.|English
LJ005-0070|These are principles fully recognized now-a-days, and it may fairly be conceded that the Prison Discipline Society's ideal|English
LJ005-0071|differed little from that kept in view in the construction of the latest and best modern jails.|English
LJ005-0072|After a few years of active exertion the Society was rewarded by fresh legislation.|English
LJ005-0073|To its efforts, and their effect upon Parliament and the public mind, we must attribute the new Jail Acts of four George the fourth|English
LJ005-0074|cap. sixty-four, and five George the fourth cap. eighty-five|English
LJ005-0075|which having gone through several sessions, at last became law in eighteen twenty-three to four|English
LJ005-0076|By the preamble of the first-named act it was declared|English
LJ005-0077||English
LJ005-0078|but shall also tend more effectually to preserve the health|English
LJ005-0079|and improve the morals of the prisoners, and shall insure the proper measure of punishment to convicted offenders.|English
LJ005-0080|Accordingly due provision was made for the enforcement of hard labor on all prisoners sentenced to it, and for the employment of all others.|English
LJ005-0082|unless such ability (to work) should cease by reason of sickness, infirmity, the want of sufficient work, or from any other cause.|English
LJ005-0083|It was distinctly laid down that male and female prisoners should be confined in separate buildings or parts of the prison,|English
LJ005-0084|so as to prevent them from seeing, conversing, or holding any intercourse with each other.|English
LJ005-0085|Classification was insisted upon, in the manner laid down by the twenty-four George the third cap. fifty-four,|English
LJ005-0086|with such further separation as the justices should deem conducive to good order and discipline.|English
LJ005-0087|Female prisoners were in all cases to be under the charge of female officers.|English
LJ005-0088|Every prison containing female prisoners was to have a matron who was to reside constantly in the prison.|English
LJ005-0089|The religious and moral welfare of the prisoners were to be attended to,|English
LJ005-0090|the first by daily services, the latter by the appointment of schoolmasters and instruction in reading and writing.|English
LJ005-0091|"Last, but not least, the use of irons was strictly forbidden, ""except in cases of urgent and absolute necessity,"""|English
LJ005-0092|and every prisoner was to be provided with a hammock or cot to himself, suitable bedding, and, if possible, a separate cell.|English
LJ005-0093|The second act, passed in the following year, enlarged and amended the first, and at the same time gave powers to the House|English
LJ005-0094|to call for information as to the observance of its provisions.|English
LJ005-0095|The promulgation of these two Jail Acts strengthened the hands of the Prison Discipline Society enormously.|English
LJ005-0096|It had now a legal and authoritative standard of efficiency to apply,|English
LJ005-0097|and could expose all the local authorities that still lagged behind, or neglected to comply with the provisions of the new laws.|English
LJ005-0098|The Society did not shrink from its self-imposed duty, but continued year after year, with unflagging energy and unflinching spirit, to watch closely|English
LJ005-0099|and report at length upon the condition of the prisons of the country.|English
LJ005-0100|For this purpose it kept up an extensive correspondence with all parts of the kingdom, and circulated queries to be answered in detail,|English
LJ005-0101|whence it deduced the practice and condition of every prison that replied.|English
LJ005-0102|Upon these and the private visitations made by various members the Society obtained the facts,|English
LJ005-0103|often highly damnatory, which were embodied in its annual reports.|English
LJ005-0104|The progress of improvement was certainly extremely slow.|English
LJ005-0105|It was long before the many jurisdictions imitated the few.|English
LJ005-0106|Jails, of which the old prison at Reading was a specimen, were still left intact.|English
LJ005-0107|In that prison, with its cells and yards arranged within the shell of an ancient abbey chapel,|English
LJ005-0108|"the prisoners, without firing, bedding, or sufficient food, spent their days ""in surveying their grotesque prison,"|English
LJ005-0109|or contriving some means of escape by climbing the fluted columns which supported the Gothic arches of the aisles,|English
LJ005-0110|and so passing by the roof down into the garden and on to freedom.|English
LJ005-0111|In a county prison adjoining the metropolis, the separation between the male and female quarters was supposed to be accomplished by the erection of an iron railing;|English
LJ005-0112|in this same prison capital convicts were chained to the floor until execution.|English
LJ005-0113|In another jail not far off male and female felons still occupied the same room -- underground, and reached by a ladder of ten steps.|English
LJ005-0114|In others the separation between the sexes consisted in a hanging curtain|English
LJ005-0115|or an imaginary boundary line, and nothing prevented parties from passing to either side|English
LJ005-0116|but an empty regulation which all so disposed could defy.|English
LJ005-0117|Numbers of the jails were still unprovided with chaplains, and the prisoners never heard Divine service.|English
LJ005-0118|In many others there were no infirmaries, no places set apart for the confinement of prisoners afflicted with dangerous and infectious disorders.|English
LJ005-0119|No attempt was made to maintain discipline.|English
LJ005-0120|Half the jails had no code of rules properly prepared and sanctioned by the judges, according to law.|English
LJ005-0121|By degrees, however,|English
LJ005-0122|the changes necessary to bring the prisons into conformity with the recent acts were attempted, if not actually introduced into the county prisons, to which,|English
LJ005-0123|with a few of the more important city or borough prisons, these acts more especially applied.|English
LJ005-0124|Most of the local authorities embarked into considerable expenditure, determined to rebuild their jails de novo on the most approved pattern,|English
LJ005-0125|or to reappropriate, reconstruct, and patch up the existing prisons till they were more in accordance with the growing requirements of the times.|English
LJ005-0126|Religious worship became more generally the rule; chaplains were appointed, and chapels provided for them; surgeons and hospitals also.|English
LJ005-0127|Workshops were built at many prisons, various kinds of manufactures and trades were set on foot, including weaving, matting, shoe-making, and tailoring.|English
LJ005-0128|The interior of one prison was illuminated throughout with gas, -- still a novelty, which had been generally adopted in London only four years previously,|English
LJ005-0129|a measure which must greatly tend to discourage attempts to escape.|English
LJ005-0130|There were tread-wheels at most of the prisons, and regular employment thereon or at some other kind of hard labor.|English
LJ005-0131|In many places too where the prisoners earned money by their work, they were granted a portion of it for their own use after proper deduction for maintenance.|English
LJ005-0132|Only a few glaring evils still demanded a remedy.|English
LJ005-0133|The provision of separate sleeping cells was still quite inadequate. For instance,|English
LJ005-0134|in twenty-two county jails there were one thousand sixty-three sleeping cells in all (in eighteen twenty-three)|English
LJ005-0135|and the average daily number committed that year amounted to three thousand, nine hundred eighty-five.|English
LJ005-0136|The want of sleeping cells long continued a crying need.|English
LJ005-0137|Four years later the Prison Society reported|English
LJ005-0138|that in four prisons, which at one time of the year contained one thousand three hundred eight prisoners, there were only sixty-eight sleeping rooms or cells,|English
LJ005-0139|making an average of nineteen persons occupying each room.|English
LJ005-0140|At the New Prison, Clerkenwell, which had become the principal reception jail of Middlesex, and so took all the untried,|English
LJ005-0141|the sleeping space per head was only sixteen inches, and often as many as two hundred ninety-three men had to be accommodated on barrack beds|English
LJ005-0142|occupying barely three hundred ninety feet lineal|English
LJ005-0143|"The ""scenes of tumult and obscenity"" in these night rooms are said to have been beyond description; a prisoner in one nocturnal riot lost an eye."|English
LJ005-0144|Yet to Clerkenwell were now committed the juveniles, and all who were inexperienced in crime.|English
LJ005-0145|Great want of uniformity in treatment in the various prisons was still noticeable|English
LJ005-0146|and was indeed destined to continue for another half century, in other words, until the introduction of the Prison Act of eighteen seventy-seven.|English
LJ005-0147|At the time of which I am writing there was great diversity of practice as regards the hours of labor.|English
LJ005-0148|In some prisons the prisoners worked seven hours a day, in others ten and ten and a half.|English
LJ005-0149|The nature of the employment varied greatly in severity, especially the tread-wheel labor.|English
LJ005-0150|In some county jails, as I have already said, female prisoners were placed upon the tread-wheel;|English
LJ005-0151|in others women were very properly exempted from it, and also from all severe labor.|English
LJ005-0152|Earnings were very differently appropriated. Here the prisoners were given the whole amount, there a half or a third.|English
LJ005-0153|Sometimes this money might be expended in the purchase of extra articles of food.|English
LJ005-0154|The rations varied considerably everywhere.|English
LJ005-0155|It was still limited to bread in some places, the allowance of which varied from one to three pounds;|English
LJ005-0156|in others meat, soup, gruel, beer were given.|English
LJ005-0157|Here and there food was not issued in kind, but a money allowance which the prisoner might expend himself.|English
LJ005-0158|Bedding and clothing was still denied, but only in a few jails;|English
LJ005-0159|in others both were supplied in ample quantities, the cost varying per prisoner from twenty shillings to five pounds.|English
LJ005-0160|It was plain that although the law had defined general principles of prison government,|English
LJ005-0161|too much discretion was still left to the magistracy to fill in the details. The legislature only recommended,|English
LJ005-0162|it did not peremptorily insist. Too often the letter of the law was observed, but not its spirit.|English
LJ005-0163|One great impediment to wide amelioration was that a vast number of small jails lay out of reach of the law.|English
LJ005-0164|When the new acts were introduced, numerous prisons under local jurisdiction were exempted from the operation of the law.|English
LJ005-0165|They were so radically bad that reform seemed hopeless, and it was thought wiser not to bring them under provisions which clearly could not be enforced.|English
LJ005-0166|Mr. Peel, who as Home Secretary had charge of the bill,|English
LJ005-0167|"which became the four George the fourth cap. sixty-four, said that he had abstained from legislating for these small jurisdictions ""on mature deliberation."""|English
LJ005-0168|"It is not, he said, ""that I am insensible of the lamentable and disgraceful situation in which many of them are,"|English
LJ005-0169|but I indulge a hope that many of them will contract with the counties,|English
LJ005-0170|that many of them will build new jails, and that when in a year or two we come to examine their situation,|English
LJ005-0171|we shall find but few which have not in one or other of these ways removed the grievance of which such just complaint is made.|English
LJ005-0172|When that time arrives|English
LJ005-0173|I shall not hesitate to ask Parliament for powers to compel them to make the necessary alterations, for it is not to be endured that these local jurisdictions should remain|English
LJ005-0174|"in the deplorable situation in which many of them now are."""|English
LJ005-0175|At this time there were in England one hundred and seventy boroughs, cities, towns, and liberties|English
LJ005-0176|which possessed the right of trying criminals for various offenses.|English
LJ005-0177|Nearly every one of these jurisdictions had its own prison, and there were one hundred and sixty such jails in all.|English
LJ005-0178|Many of them consisted of one or two rooms at most.|English
LJ005-0179|he total number of prisoners they received during the year varied from two persons to many hundreds.|English
LJ005-0180|It was in these jails, withdrawn from the pressure of authority, that the new rules were invariably ignored.|English
LJ005-0181|"The right and privilege of the borough to maintain its own place of confinement was so ""ancient and indisputable,"""|English
LJ005-0182|that for long no idea of interfering with them was entertained.|English
LJ005-0183|All that was urged was that the borough magistracy had no right to govern their jails|English
LJ005-0184|"so as to corrupt those committed, ""to the injury of the peace and morals of the public."""|English
LJ005-0185|As time passed, however, these magistrates made no effort at reform.|English
LJ005-0186|They neither built new jails nor contracted with the counties, as had been expected, for the transfer of their prisoners.|English
LJ005-0187|"As the Society put it in eighteen twenty-seven, ""the friends to the improvement of prison discipline will regret to learn"|English
LJ005-0188|that the jails attached to corporate jurisdictions continue to be the fruitful sources|English
LJ005-0189|of vice and misery, debasing all who are confined within their walls, and disseminating through their respective communities|English
LJ005-0190|the knowledge and practice of every species of criminality.|English
LJ005-0191|The Society proceeded to support this indictment by facts. It is much the old story.|English
LJ005-0192|The prisoners were lodged in rooms whence they could converse with passengers in the streets, and freely obtain spirits and other prohibited articles.|English
LJ005-0193|All descriptions of offenders congregated together in the felons' wards.|English
LJ005-0194|The keeper and his officers resided at a distance from the jail, and left its inmates to their own devices.|English
LJ005-0195|There was no decency whatever in the internal arrangements;|English
LJ005-0196|still no separation of the sexes, no means of ablution or other necessary services.|English
LJ005-0197|One borough prison consisted of nothing more than a couple of cells, about ten yards square, and absolutely nothing more.|English
LJ005-0198|In another borough, with a population of ten thousand, the prison was of the same dimensions.|English
LJ005-0199|"One cell was a dungeon, and the other an ""improper and unhealthy abode for any human being,"" with a watercourse running through it."|English
LJ005-0200|Most of these small jails were still in existence and in much the same state eight years later,|English
LJ005-0201|as is shown by the report of the Commissioners to inquire into the state of the municipal corporations in eighteen thirty-five.|English
LJ005-0202|An examination of this report shows how even the most insignificant township had its jail.|English
LJ005-0203|"Thus Dinas Mwddy, in Merionethshire, had, ""besides the pinfold and the stocks or crib, a little prison."""|English
LJ005-0204|Clun, in Shropshire, had a lock-up under the town hall.|English
LJ005-0205|At Eye, in Suffolk, the jail was part of the poor-house; so it was at Richmond, in Yorkshire, where the master of the workhouse was also keeper of the jail.|English
LJ005-0206|At Godmanchester there was no jail, but a cage to secure prisoners till they could be taken before a magistrate.|English
LJ005-0207|Kidderminster had a prison, one damp chill room,|English
LJ005-0208|the only aperture through which air could be admitted being an iron grating level with the street,|English
LJ005-0209|through the bars of which quills or reeds were inserted, and drink conveyed to the prisoners.|English
LJ005-0210|At Walsall, in Staffordshire,|English
LJ005-0211|the jail consisted of six cells, frequently so damp that the moisture trickled down the walls; there was not space for air or exercise,|English
LJ005-0212|and the prison allowance was still limited to bread and water.|English
LJ005-0213|Newgate through all these years continued a bye-word with the Society.|English
LJ005-0214|Some reforms had certainly been introduced, such as the abolition of irons, already referred to, and the establishment of male and female infirmaries.|English
LJ005-0215|The regular daily visitation of the chaplain was also insisted upon.|English
LJ005-0216|But it was pointed out in eighteen twenty-three that defective construction must always bar the way to any radical improvement in Newgate.|English
LJ005-0217|Without enlargement no material change in discipline or interior economy could possibly be introduced.|English
LJ005-0218|The chapel still continued incommodious and insufficient|English
LJ005-0219|female prisoners were still exposed to the full view of the males, the netting in front of the gallery being perfectly useless as a screen.|English
LJ005-0220|In eighteen twenty-four Newgate had no glass in its windows, except in the infirmary and one ward of the chapel yard;|English
LJ005-0221|and the panes were filled in with oiled paper, an insufficient protection against the weather;|English
LJ005-0222|and as the window-frames would not shut tight, the prisoners complained much of the cold, especially at night.|English
LJ005-0223|There was a diminution in the numbers in custody, due to the adoption of the practice of not committing at once to Newgate every offender for trial at the Old Bailey|English
LJ005-0224|but nothing had been done to improve the prison buildings.|English
LJ005-0225|"In eighteen twenty-seven the Society was compelled to report that ""no material change had taken place in Newgate since the passing of the prison laws,"|English
LJ005-0226|and that consequently the observance of their most important provisions was habitually neglected.|English
LJ005-0227|It was enacted that the court of aldermen should make rules for the government of the prison, and that these should be posted publicly within the walls.|English
LJ005-0228|As yet no rules or regulations had been printed or prepared.|English
LJ005-0229|"By another clause of the Jail Act, two justices were to be appointed to visit the prison at least thrice in every quarter, and ""oftener if occasion required."""|English
LJ005-0230|These justices were to inspect every part of the prison, and examine into the state and condition of prisoners.|English
LJ005-0231|The city justices had not fulfilled this obligation.|English
LJ005-0232|Idleness was still the general rule for all prisoners in Newgate, in defiance of the law.|English
LJ005-0233|There was no instruction of adult prisoners, in accordance with the law. The sleeping accommodation was still altogether contrary to the latest ideas.|English
LJ005-0234|The visits of friends was once more unreservedly allowed, and these incomers freely brought in extra provisions and beer.|English
LJ005-0235|Last, and worst of all, the arrangements for keeping the condemned prisoners between sentence and execution were more than unsatisfactory.|English
LJ005-0236|They were not confined apart from each other, but were crowded thirty or forty together in the press yard,|English
LJ005-0237|"so that ""corrupt conversation obliterated from the mind of him who is doomed to suffer every serious feeling and valuable impression."""|English
LJ005-0238|I shall have more to say on this subject, and upon the state of Newgate generally, in the following chapter.|English
LJ005-0239|The Prison Society did not relax its efforts as time passed, but its leading members had other and more pressing claims upon their energies.|English
LJ005-0240|Mr. Buxton had succeeded to the great work which William Wilberforce had commenced, and led the repeated attacks upon slavery in British colonies|English
LJ005-0241|till the whole body of the slaves were manumitted in eighteen thirty-three.|English
LJ005-0242|In the year immediately preceding this, Parliament was too busy with the great question of its own reform to spare much time for domestic legislation.|English
LJ005-0243|Nevertheless a committee of the House of Commons was appointed in eighteen thirty-one to report upon the whole system of secondary punishments,|English
LJ005-0244|which dealt with jails of all classes, as well as transportation.|English
LJ005-0245|This committee animadverted strongly upon the system in force at the metropolitan jails, and more especially upon the condition of Newgate|English
LJ005-0246|"where ""prisoners before and after trial are under no efficient superintendence,"" and where ""there was no restraint, or attempt at restraint."""|English
LJ005-0247|Mr. Samuel Hoare was examined by this committee|English
LJ005-0248|and stated that in his opinion Newgate, as the common jail of Middlesex, was wholly inadequate to the proper confinement of its prisoners.|English
LJ005-0249|From the moment of a person's committal he was certain to be plunged deeper and deeper in guilt.|English
LJ005-0250|The prisoners were crowded together in the jail, contrary to the requirements of the four George the fourth|English
LJ005-0251|Again in eighteen thirty-five prisons and their inmates became once more the care of the senate, and the subject was taken up this time by the House of Lords.|English
LJ005-0252|A committee was appointed, under the presidency of the Duke of Richmond|English
LJ005-0253||English
LJ005-0254|"upon the rules and discipline therein established with regard to the treatment of unconvicted as well as convicted persons."""|English
LJ005-0255|The committee was also to report upon the manner in which sentences were carried out, and to recommend any alterations necessary in the rules|English
LJ005-0256|in order to insure uniformity of discipline. It met on the thirty-first March, eighteen thirty-five, and continued its sittings well into July|English
LJ005-0257|during which time a host of witnesses were examined, and the committee presented three separate reports,|English
LJ005-0258|embodying recommendations which may be said to have formed the basis of modern prison management.|English
LJ005-0259|It was laid down as a first and indispensable principle that uniformity of discipline should prevail everywhere,|English
LJ005-0260|a theory which did not become a practical fact for forty more years.|English
LJ005-0261|As a means of securing this uniformity,|English
LJ005-0262|it was suggested that the rules framed for prison government should be subjected to the Secretary of State for approval,|English
LJ005-0263|and not, as heretofore, to the judges of assize; that, both to check abuses and watch the progress of improvement,|English
LJ005-0264|inspectors of prisons should be appointed, who should visit all the prisons from time to time and report to the Secretary of State.|English
LJ005-0265|It was recommended that the dietaries should be submitted and approved like the rules; that convicted prisoners should not receive any food but the jail allowance;|English
LJ005-0266|that food and fuel should be issued in kind, and never provided by the prisoners themselves out of monies granted them.|English
LJ005-0267|The use of tobacco, hitherto pretty generally indulged in both by men and women,|English
LJ005-0268|"should be strictly prohibited, ""as a stimulating luxury inconsistent with any notion of strict discipline and the due pressure of just punishment."""|English
LJ005-0269|Prison officers should not have any share in prisoners' earnings,|English
LJ005-0270|which should be paid into general prison funds, and no part of them handed over to the prisoners themselves.|English
LJ005-0271|As a means of increasing the severity of imprisonment, letters and visits from outside should not be permitted during the first six months of an imprisonment.|English
LJ005-0272|Various other recommendations were made as regards the appointment of chaplain and schoolmasters; the limitation of the powers of wardsmen,|English
LJ005-0273|or prisoners employed in positions of trust, who should not be permitted to traffic with their fellow-prisoners in any way.|English
LJ005-0274|The committee most of all insisted upon the entire individual separation of prisoners, except during the hours of labor,|English
LJ005-0275|"religious worship, and instruction, as ""absolutely necessary for preventing contamination,"|English
LJ005-0276|and for securing a proper system of prison discipline.|English
LJ005-0277|This was the first enunciation of the system of separate confinement,|English
LJ005-0278|which was eventually to replace the attempted arrangement of prisoners by classes according to antecedents and crimes,|English
LJ005-0279|an incomplete and fallacious method of preventing contamination.|English
LJ005-0280|The Lords' Committee fully recognized the painful fact|English
LJ005-0281|that the greatest mischief followed from the intercourse which was still permitted in so many prisons; to use its words,|English
LJ005-0282||English
LJ005-0283|and the tendency to crime in offenders not entirely hardened is confirmed by the language, the suggestions, and the example|English
LJ005-0284|of more depraved and systematic criminals.|English
LJ005-0285|This committee, as well as the one preceding it, also reported in terms of strong reprobation on the small prisons and jails|English
LJ005-0286|still under the borough corporations. The Commons' Committee gave it as their opinion that they were in a deplorable state.|English
LJ005-0287|The same language was used by the commissioners appointed to inquire into the municipal corporations in eighteen thirty-five,|English
LJ005-0288|when speaking more particularly of the borough jails.|English
LJ005-0289|"In these the commissioners found ""additional proof of the evils of continuing the present constitution of the local tribunals."|English
LJ005-0290|Instances rarely occur in which the borough jails admit of any proper classification of the prisoners.|English
LJ005-0291|In some large towns, as at Berwick on Tweed, Southampton, and Southwark, they (the prisons) are in a very discreditable condition.|English
LJ005-0292|In many of the smaller boroughs they are totally unfit for the confinement of human beings.|English
LJ005-0293|In these places the prisoners are often without a proper supply of air and light; frequently the jails are mere dungeons under the town hall.|English
LJ005-0294|It was frequently stated in evidence that the jail of the borough was in so unfit a state for the reception of prisoners,|English
LJ005-0295|"that plaintiffs were unwilling to consign the defendants against whom they had obtained execution to confinement within its walls."""|English
LJ005-0296|The Lords' Committee on Jails were of the same opinion, and considered the prisons under corporate or peculiar jurisdiction in a very unsatisfactory condition.|English
LJ005-0297|They therefore recommended that the prisoners should be removed|English
LJ005-0298|to the county jails from such prisons as were past improvement, and that the borough funds should be charged for the accommodation.|English
LJ005-0299|The whole question was again dealt with in Lord John Russell's bill for the reform of the municipal corporations, and with a more liberal election of town councilors,|English
LJ005-0300|and the establishment of municipal institutions upon a proper footing,|English
LJ006-0001|The Chronicles of Newgate, Volume two. By Arthur Griffiths. Section nine: The first report of the inspector of prisons.|English
LJ006-0002|In the preceding chapter I have been tempted by the importance of the general question to give it prominence and precedence over the particular branch of which I am treating.|English
LJ006-0003|Newgate has remained rather in the background while the whole of the jails as a body were under discussion.|English
LJ006-0004|But this digression was necessary in order to present a more complete picture of the state of jails in the early part of the present century,|English
LJ006-0005|just before the public mind was first awakened to the need for thorough reform.|English
LJ006-0006|I shall now return to the great jail of the city of London, and give a more detailed account of its condition and inner life|English
LJ006-0007|as the inspectors of prisons found them in eighteen thirty-five to six.|English
LJ006-0008|These gentlemen were appointed in October eighteen thirty-five, owing to the strong representations of the Lords' Committee|English
LJ006-0009|backed up by the evidence of several influential witnesses.|English
LJ006-0010|Mr. Samuel Hoare, when examined, considered it indispensably necessary, to carry out whatever system might be established,|English
LJ006-0011|that inspectors should watch over the observance of the law. He saw no objection on the score of their probable interference with the local jurisdiction,|English
LJ006-0012|but he would not arm them with any authority lest their cooperation might be offensive.|English
LJ006-0013|Sir Frederick Roe was of the same opinion as regards the appointment, but he would give the inspectors the power of acting as well as reporting.|English
LJ006-0014|They should be persons, he thought, selected from the highest class; the duty was most important,|English
LJ006-0015|one which required discretion, judgment, and knowledge of law, with sufficient insight and experience to discover defects in prison discipline.|English
LJ006-0016|These considerations no doubt had weight|English
LJ006-0017|with those who made the selection of the first inspectors, and the two gentlemen appointed were probably the most fitted in England to be so employed.|English
LJ006-0018|One was Mr. William Crawford, the other the Rev. Whitworth Russell.|English
LJ006-0019|The first named had long been an active philanthropist, devoting himself more particularly to the reformation of juvenile criminals.|English
LJ006-0020|William Crawford had been one of the promoters and managers of the Philanthropic Society's farm school.|English
LJ006-0021|Later on he had devoted himself to the personal investigation of the prisons of the United States.|English
LJ006-0022|At that time the mild and intelligent prison discipline in force in Pennsylvania, the legacy of the old Quaker immigrants,|English
LJ006-0023|had made such prisons as Auburn a model for imitation.|English
LJ006-0024|Several European states had dispatched emissaries to examine and report upon them.|English
LJ006-0025|France had sent Misseurs Beaumont and De Tocqueville, who subsequently published several interesting works on the subject.|English
LJ006-0026|England was represented by Mr. Crawford, and the result of his inquiry was given to the public as an appendix to the House of Commons' Report on Secondary Punishments.|English
LJ006-0027|It is an able and exhaustive state paper, testifying to the keenness of the writer's perception, and his unremitting labor in pursuing his researches.|English
LJ006-0028|Mr. Crawford was thoroughly versed in the still imperfectly understood science of prison management, and fully qualified for his new duties.|English
LJ006-0029|The second inspector, the Rev. Whitworth Russell, was the chaplain of Millbank penitentiary,|English
LJ006-0030|the great architectural experiment which grew out of the strong representations of Jeremy Bentham and others, and was the first national recognition of the principle|English
LJ006-0031|that punishment must be reformatory as well as deterrent.|English
LJ006-0032|Messrs. Crawford and Russell proceeded to carry out their new functions with commendable energy, and without a moment's loss of time.|English
LJ006-0033|The ink was barely dry upon their letters of appointment before they appeared at Newgate, and commenced a searching investigation.|English
LJ006-0034|They attended early and late; they mustered the prisoners, examined into their condition,|English
LJ006-0035|took voluminous evidence from all classes of individuals, from the governor down to the convict in the condemned cells.|English
